" ","score","status","future"
"Index",74.39,,71.33
"Food Provision",54.48,53.89,55.07
". Fisheries",27.75,26.51,29
". Mariculture",78.14,78.13,78.14
"Artisanal Fishing Opportunity",61.86,59.11,64.62
"Natural Products",72.67,69.79,75.54
"Carbon Storage",,74.14,
"Coastal Protection",57.25,79.96,34.54
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",99.88,99.76,100
". Livelihoods",98.93,97.86,100
". Economies",100,100,100
"Sense of Place",78.29,80,76.57
". Iconic Species",56.57,60,53.15
". Lasting Special Places",100,100,100
"Clean Waters",66.96,68.33,65.58
"Biodiversity",78.1,86.13,70.07
". Habitats",77.61,89.82,65.41
". Species",78.59,82.45,74.73
