" ","score","status","future","trend","pressures","resilience"
"Index",70.06,,66.93,,,
"Food Provision",1.67,1.62,1.73,0,,
". Fisheries",3.11,3,3.22,0,37.29,59.55
". Mariculture",0.4,0.39,0.41,0,35.95,48.77
"Artisanal Fishing Opportunity",61.83,59.11,64.56,0,35.37,62.46
"Natural Products",97.07,94.14,100,-0.01,33.59,63.63
"Carbon Storage",,74.14,,-1,,65.56
"Coastal Protection",57.16,79.96,34.35,-1,36.14,66.32
"Tourism & Recreation",100,100,100,0,62.16,67.84
"Coastal Livelihoods & Economies",100,100,100,0.3,,
". Livelihoods",100,100,100,0.61,40.22,57.42
". Economies",100,100,100,-0.01,38.48,47.69
"Sense of Place",78.21,80,76.41,-0.14,,
". Iconic Species",56.41,60,52.82,-0.27,41.74,60.85
". Lasting Special Places",100,100,100,0,51.68,65.56
"Clean Waters",56.53,57.69,55.37,0.01,82.16,67.84
"Biodiversity",78.05,86.13,69.96,-0.37,,
". Habitats",77.62,89.82,65.43,-0.52,36.39,59.04
". Species",78.47,82.45,74.49,-0.23,42.22,60
