" ","score","status","future","trend","pressures","resilience"
"Index",71.26,,68.28,,,
"Food Provision",3.06,2.96,3.16,0,,
". Fisheries",5.19,5,5.37,0,37.09,59.55
". Mariculture",1.17,1.15,1.2,0,35.95,48.77
"Artisanal Fishing Opportunity",61.86,59.11,64.61,0,35.12,62.46
"Natural Products",96.42,92.83,100,0,33.59,63.63
"Carbon Storage",,74.14,,-1,,65.56
"Coastal Protection",57.24,79.96,34.52,-1,35.51,66.32
"Tourism & Recreation",100,100,100,0,62.16,67.84
"Coastal Livelihoods & Economies",99.46,98.93,100,1,,
". Livelihoods",98.93,97.86,100,1,39.07,57.42
". Economies",100,100,100,1,37.65,47.69
"Sense of Place",78.28,80,76.57,-0.14,,
". Iconic Species",56.57,60,53.13,-0.27,40.17,60.85
". Lasting Special Places",100,100,100,0,47.3,65.56
"Clean Waters",66.96,68.33,65.58,0.01,82.16,67.84
"Biodiversity",78.1,86.13,70.06,-0.37,,
". Habitats",77.61,89.82,65.4,-0.52,36.27,58.81
". Species",78.58,82.45,74.71,-0.23,40.98,59.58
