" ","score","status","future","trend","pressures","resilience"
"Index",73.2,,69.97,,,
"Food Provision",0.34,0.33,0.35,0,,
". Fisheries",0,0,0,0,37.08,59.55
". Mariculture",0.64,0.63,0.66,0,35.95,48.77
"Artisanal Fishing Opportunity",61.86,59.11,64.62,0,35.09,62.46
"Natural Products",99.13,98.26,100,0,33.59,63.63
"Carbon Storage",,74.14,,-1,,65.56
"Coastal Protection",57.25,79.96,34.53,-1,35.45,66.32
"Tourism & Recreation",100,100,100,0,55.6,67.84
"Coastal Livelihoods & Economies",100,100,100,0.3,,
". Livelihoods",100,100,100,0.61,36.12,57.42
". Economies",100,100,100,-0.01,35.53,47.69
"Sense of Place",78.41,80,76.82,-0.14,,
". Iconic Species",56.82,60,53.65,-0.27,37.57,60.85
". Lasting Special Places",100,100,100,0,37.73,65.56
"Clean Waters",83.85,84.02,83.67,0.01,71.22,67.84
"Biodiversity",77.94,86.13,69.74,-0.37,,
". Habitats",77.37,89.82,64.92,-0.52,36.25,57.17
". Species",78.51,82.45,74.56,-0.23,38.64,56.67
