" ","score","status","future","trend","pressures","resilience"
"Index",72.57,,69.33,,,
"Food Provision",2.2,2.14,2.27,0.01,,
". Fisheries",2.07,2,2.15,0,37.06,59.55
". Mariculture",2.32,2.26,2.37,0.01,35.95,48.77
"Artisanal Fishing Opportunity",61.86,59.11,64.62,0,35.07,62.46
"Natural Products",97.98,95.96,100,0,33.59,63.63
"Carbon Storage",,74.14,,-1,,65.56
"Coastal Protection",57.25,79.96,34.54,-1,35.41,66.32
"Tourism & Recreation",100,100,100,0,61.6,67.84
"Coastal Livelihoods & Economies",100,100,100,0.3,,
". Livelihoods",100,100,100,0.61,37.28,57.42
". Economies",100,100,100,-0.01,36.36,47.69
"Sense of Place",78.36,80,76.73,-0.14,,
". Iconic Species",56.73,60,53.46,-0.27,38.53,60.85
". Lasting Special Places",100,100,100,0,41.42,65.56
"Clean Waters",77.44,78.91,75.98,0.01,81.22,67.84
"Biodiversity",78,86.13,69.86,-0.37,,
". Habitats",77.46,89.82,65.1,-0.52,36.25,57.79
". Species",78.54,82.45,74.62,-0.23,39.52,57.78
