"rgn_id","sector","year","value"
1,"cf",1997,17196.34
5,"cf",1997,17196.34
2,"cf",1997,17196.34
3,"cf",1997,17196.34
1,"cf",2007,36673.924
5,"cf",2007,36673.924
2,"cf",2007,36673.924
3,"cf",2007,36673.924
1,"mar",2004,69378.36676854
5,"mar",2004,69378.36676854
2,"mar",2004,69378.36676854
3,"mar",2004,69378.36676854
1,"mar",2005,69908.44097865
5,"mar",2005,69908.44097865
2,"mar",2005,69908.44097865
3,"mar",2005,69908.44097865
1,"mar",2006,69908.44097865
5,"mar",2006,69908.44097865
2,"mar",2006,69908.44097865
3,"mar",2006,69908.44097865
1,"mmw",1998,15.32
5,"mmw",1998,15.32
2,"mmw",1998,15.32
3,"mmw",1998,15.32
1,"mmw",2006,57.45
5,"mmw",2006,57.45
2,"mmw",2006,57.45
3,"mmw",2006,57.45
1,"tour",2005,42681.329861
5,"tour",2005,42681.329861
2,"tour",2005,42681.329861
3,"tour",2005,42681.329861
1,"tour",2006,40794.8622428
5,"tour",2006,40794.8622428
2,"tour",2006,40794.8622428
3,"tour",2006,40794.8622428
1,"tour",2007,47179.8295658
5,"tour",2007,47179.8295658
2,"tour",2007,47179.8295658
3,"tour",2007,47179.8295658
1,"tour",2008,50245.3394453
5,"tour",2008,50245.3394453
2,"tour",2008,50245.3394453
3,"tour",2008,50245.3394453
1,"tour",2009,48812.34962
5,"tour",2009,48812.34962
2,"tour",2009,48812.34962
3,"tour",2009,48812.34962
1,"tour",2010,47034.7166721
5,"tour",2010,47034.7166721
2,"tour",2010,47034.7166721
3,"tour",2010,47034.7166721
