"cntry_key","year","jobs"
"ECU",1990,3840102.71448176
"ECU",1991,3978769.51676175
"ECU",1992,4133763.48533756
"ECU",1993,4292505.42195917
"ECU",1994,4440884.29253945
"ECU",1995,4606366.56182129
"ECU",1996,4760444.33242372
"ECU",1997,4917133.63730301
"ECU",1998,5084659.05272092
"ECU",1999,5280218.95438809
"ECU",2000,5457081.63601301
"ECU",2001,5990721.10569795
"ECU",2002,6039950.67846186
"ECU",2003,6076940.0691789
"ECU",2004,6406572.52078569
"ECU",2005,6458051.1253211
"ECU",2006,6721497.1315457
"ECU",2007,6670586.88924528
"ECU",2008,6709549.30391635
"ECU",2009,6825380.3312993
"ECU",2010,7013491.61340766
"ECU",2011,7183707.84857875
"ECU",2012,7356009.3003415
"Galapagos Islands",1990,16304.867019031
"Galapagos Islands",1991,16893.6387106326
"Galapagos Islands",1992,17551.7346612566
"Galapagos Islands",1993,18225.7442801134
"Galapagos Islands",1994,18855.7528848629
"Galapagos Islands",1995,19558.381589161
"Galapagos Islands",1996,20212.5874130801
"Galapagos Islands",1997,20877.8816693317
"Galapagos Islands",1998,21589.1854608673
"Galapagos Islands",1999,22419.5221544441
"Galapagos Islands",2000,23170.4714698487
"Galapagos Islands",2001,25436.2755996462
"Galapagos Islands",2002,25645.301684884
"Galapagos Islands",2003,25802.3566236704
"Galapagos Islands",2004,27201.9580635843
"Galapagos Islands",2005,27420.5334152565
"Galapagos Islands",2006,28539.1108121547
"Galapagos Islands",2007,28322.948695583
"Galapagos Islands",2008,28488.3809866403
"Galapagos Islands",2009,28980.1932215148
"Galapagos Islands",2010,29778.9034820476
"Galapagos Islands",2011,30501.6323477308
"Galapagos Islands",2012,31233.2149295152
