" ","score","status","future","trend","pressures","resilience"
"Index",71.34,,68.18,,,
"Food Provision",2.15,2.09,2.22,0.01,,
". Fisheries",2.07,2,2.15,0,37.06,59.55
". Mariculture",2.22,2.17,2.28,0.01,35.95,48.77
"Artisanal Fishing Opportunity",61.86,59.11,64.62,0,35.07,62.46
"Natural Products",97.98,95.96,100,0,33.59,63.63
"Carbon Storage",,74.14,,-1,,65.56
"Coastal Protection",57.25,79.96,34.54,-1,35.41,66.32
"Tourism & Recreation",100,100,100,0,62.16,67.84
"Coastal Livelihoods & Economies",99.46,98.93,100,1,,
". Livelihoods",98.93,97.86,100,1,39.07,57.42
". Economies",100,100,100,1,37.64,47.69
"Sense of Place",78.29,80,76.58,-0.14,,
". Iconic Species",56.58,60,53.15,-0.27,40.06,60.85
". Lasting Special Places",100,100,100,0,47.17,65.56
"Clean Waters",66.96,68.33,65.58,0.01,82.16,67.84
"Biodiversity",78.1,86.13,70.07,-0.37,,
". Habitats",77.61,89.82,65.41,-0.52,36.25,58.81
". Species",78.59,82.45,74.73,-0.23,40.91,59.58
