" ","score","status","future","trend","pressures","resilience"
"Index",75.3,,72.24,,,
"Food Provision",69.27,68.54,70,0.21,,
". Fisheries",34.56,33,36.11,0.03,37.04,59.55
". Mariculture",100,100,100,0.37,35.95,48.77
"Artisanal Fishing Opportunity",61.87,59.11,64.62,0,35.05,62.46
"Natural Products",65.76,62.91,68.6,-0.01,33.59,63.63
"Carbon Storage",,74.14,,-1,,65.56
"Coastal Protection",57.26,79.96,34.56,-1,35.35,66.32
"Tourism & Recreation",100,100,100,0,62.16,67.84
"Coastal Livelihoods & Economies",100,100,100,0.3,,
". Livelihoods",100,100,100,0.61,39.03,57.42
". Economies",100,100,100,-0.01,37.61,47.69
"Sense of Place",78.29,80,76.58,-0.14,,
". Iconic Species",56.58,60,53.17,-0.27,39.98,60.85
". Lasting Special Places",100,100,100,0,46.98,65.56
"Clean Waters",67.22,68.61,65.84,0.01,82.16,67.84
"Biodiversity",78.03,86.13,69.93,-0.37,,
". Habitats",77.56,89.82,65.3,-0.52,36.23,58.42
". Species",78.51,82.45,74.56,-0.23,40.85,58.89
