" ","score","status","future","trend","pressures","resilience"
"Index",71.16,,68.08,,,
"Food Provision",1.67,1.61,1.72,0,,
". Fisheries",3.11,3,3.22,0,37.29,59.55
". Mariculture",0.39,0.38,0.4,0,35.95,48.77
"Artisanal Fishing Opportunity",61.83,59.11,64.56,0,35.37,62.46
"Natural Products",97.07,94.14,100,-0.01,33.59,63.63
"Carbon Storage",,74.14,,-1,,65.56
"Coastal Protection",57.16,79.96,34.35,-1,36.14,66.32
"Tourism & Recreation",100,100,100,0,62.16,67.84
"Coastal Livelihoods & Economies",99.46,98.93,100,1,,
". Livelihoods",98.93,97.86,100,1,39.09,57.42
". Economies",100,100,100,1,37.67,47.69
"Sense of Place",78.25,80,76.51,-0.14,,
". Iconic Species",56.51,60,53.01,-0.27,40.77,60.85
". Lasting Special Places",100,100,100,0,48.05,65.56
"Clean Waters",66.96,68.33,65.58,0.01,82.16,67.84
"Biodiversity",78.06,86.13,69.99,-0.37,,
". Habitats",77.59,89.82,65.36,-0.52,36.39,58.81
". Species",78.53,82.45,74.61,-0.23,41.34,59.58
