" ","score","status","future","trend","pressures","resilience"
"Index",63.88,,60.98,,,
"Food Provision",3.1,2.99,3.2,0.01,,
". Fisheries",5.19,5,5.37,0,37.09,59.55
". Mariculture",1.25,1.22,1.28,0.01,35.95,48.77
"Artisanal Fishing Opportunity",61.86,59.11,64.61,0,35.12,62.46
"Natural Products",96.42,92.83,100,0,33.59,63.63
"Carbon Storage",,74.14,,-1,,65.56
"Coastal Protection",57.24,79.96,34.52,-1,35.51,66.32
"Tourism & Recreation",100,100,100,0,62.16,67.84
"Coastal Livelihoods & Economies",100,100,100,0.3,,
". Livelihoods",100,100,100,0.61,41.37,57.42
". Economies",100,100,100,-0.01,39.29,47.69
"Sense of Place",78.19,80,76.37,-0.14,,
". Iconic Species",56.37,60,52.74,-0.27,42.13,60.85
". Lasting Special Places",100,100,100,0,51.56,65.56
"Clean Waters",0,0,0,0.01,82.16,67.84
"Biodiversity",78.14,86.13,70.15,-0.37,,
". Habitats",77.73,89.82,65.65,-0.52,36.27,59.67
". Species",78.55,82.45,74.64,-0.23,42.76,61.11
